Setup,Idx,Filesystem,WiFi,eMMC,Total,Batt
Baseline,10,817.960,94.318,9.810,832.854,832.854
Baseline,11,48.209,92.001,18.817,67.362,111.154
Baseline,12,242.118,95.033,10.310,257.427,257.427
Baseline,13,72.667,98.461,12.278,85.312,111.106
Baseline,14,78.867,96.660,20.581,99.819,117.612
Baseline,15,700.355,174.898,19.115,724.148,724.148
Baseline,01,73.100,111.652,11.403,84.849,123.401
Baseline,02,338.520,96.380,10.351,351.412,351.412
Baseline,03,133.503,113.340,10.177,148.570,148.570
Baseline,04,117.318,118.973,19.880,140.290,141.945
Baseline,05,360.692,92.800,9.625,372.844,372.844
Baseline,06,754.847,88.334,10.517,770.286,770.286
Baseline,07,882.094,99.539,10.638,897.352,897.352
Baseline,08,302.797,123.405,18.844,326.548,326.548
Baseline,09,59.903,92.688,13.834,74.139,106.924
Cache 256 KB,10,119.179,92.489,9.652,131.403,131.403
Cache 256 KB,11,112.714,81.390,10.701,128.254,128.254
Cache 256 KB,12,104.680,82.545,10.890,120.360,120.360
Cache 256 KB,13,101.504,93.023,10.105,114.216,114.216
Cache 256 KB,14,87.590,99.074,10.833,98.896,110.380
Cache 256 KB,15,79.662,90.158,10.784,90.779,101.275
Cache 256 KB,01,72.974,113.958,12.303,85.631,126.615
Cache 256 KB,02,78.691,87.579,10.878,89.861,98.749
Cache 256 KB,03,83.819,97.467,10.737,94.936,108.584
Cache 256 KB,04,94.451,100.580,10.748,105.517,111.646
Cache 256 KB,05,65.530,115.987,12.088,78.052,128.509
Cache 256 KB,06,77.531,92.610,10.778,88.703,103.782
Cache 256 KB,07,113.596,89.135,10.759,126.512,126.512
Cache 256 KB,08,107.297,92.094,10.613,122.700,122.700
Cache 256 KB,09,70.763,111.363,12.257,83.429,124.029
WiFi: exec(rmmod cc33xx),10,60.471,95.922,12.344,73.169,108.620
WiFi: exec(rmmod cc33xx),11,95.871,86.946,10.720,108.886,108.886
WiFi: exec(rmmod cc33xx),12,54.111,78.787,12.262,66.720,91.396
WiFi: exec(rmmod cc33xx),13,54.174,78.109,12.232,66.755,90.690
WiFi: exec(rmmod cc33xx),14,98.069,83.720,10.673,111.034,111.034
WiFi: exec(rmmod cc33xx),15,123.707,83.640,10.343,136.597,136.597
WiFi: exec(rmmod cc33xx),01,57.015,81.417,13.130,70.517,94.919
WiFi: exec(rmmod cc33xx),02,88.299,79.622,9.842,100.558,100.558
WiFi: exec(rmmod cc33xx),04,51.808,91.084,12.281,64.440,103.716
WiFi: exec(rmmod cc33xx),05,102.248,80.305,10.244,114.790,114.790
WiFi: exec(rmmod cc33xx),06,87.667,79.478,10.645,103.131,103.131
WiFi: exec(rmmod cc33xx),07,103.599,80.344,9.801,118.108,118.108
WiFi: exec(rmmod cc33xx),08,77.277,76.775,10.443,90.505,90.505
WiFi: exec(rmmod cc33xx),09,102.936,80.024,10.757,118.303,118.303
WiFi: rfkill,10,59.912,53.570,22.956,87.715,87.715
WiFi: rfkill,11,58.302,92.323,12.139,70.815,104.836
WiFi: rfkill,12,97.028,51.234,10.047,111.934,111.934
WiFi: rfkill,13,53.671,72.522,11.979,66.017,84.868
WiFi: rfkill,14,61.467,74.786,10.199,72.012,85.331
WiFi: rfkill,15,119.054,52.195,10.211,134.067,134.067
WiFi: rfkill,16,83.647,93.883,10.465,94.555,104.791
WiFi: rfkill,17,114.274,47.571,9.718,128.872,128.872
WiFi: rfkill,18,57.162,80.233,12.336,69.887,92.958
WiFi: rfkill,19,84.062,61.401,10.550,99.530,99.530
WiFi: rfkill,20,53.046,78.425,12.196,65.681,91.060
WiFi: rfkill,21,90.895,70.238,10.337,105.976,105.976
WiFi: rfkill,22,98.267,52.221,10.293,113.255,113.255
WiFi: rfkill,01,61.995,50.350,10.711,77.626,77.626
WiFi: rfkill,02,80.911,51.442,10.629,93.805,93.805
WiFi: rfkill,03,126.286,65.361,10.262,141.346,141.346
WiFi: rfkill,04,70.980,50.135,17.546,93.321,93.321
WiFi: rfkill,05,42.472,53.009,12.284,55.087,65.624
WiFi: rfkill,06,40.493,52.127,19.264,60.106,71.740
WiFi: rfkill,07,104.580,58.589,10.802,120.247,120.247
WiFi: rfkill,08,68.138,53.268,19.565,92.477,92.477
WiFi: rfkill,09,48.755,50.401,21.869,73.831,75.477
Killall,10,34.265,67.865,12.031,46.569,153.141
Killall,11,73.417,57.337,9.586,87.479,160.476
Killall,12,80.901,57.045,10.694,95.867,158.167
Killall,13,58.260,52.374,9.838,72.352,166.007
Killall,14,70.161,56.426,10.617,85.286,158.133
Killall,15,55.585,66.207,10.717,66.603,139.565
Killall,16,83.498,57.603,10.222,98.045,139.626
Killall,17,115.910,69.489,10.595,130.829,151.545
Killall,18,74.975,64.695,10.063,89.379,141.425
Killall,19,52.596,84.990,12.194,65.085,138.938
Killall,20,61.133,58.096,10.194,75.681,148.501
Killall,21,76.760,79.306,10.316,87.295,152.219
Killall,22,69.701,55.180,10.160,84.189,156.970
Killall,01,85.673,66.132,10.792,100.850,152.829
Killall,02,63.312,56.462,10.702,78.364,140.821
Killall,03,52.585,60.684,9.842,62.674,153.942
Killall,04,43.335,62.743,12.397,56.010,137.787
Killall,05,90.052,54.720,10.104,104.543,135.630
Killall,06,65.151,69.220,10.098,75.357,152.311
Killall,07,74.837,82.788,10.222,85.351,134.886
Killall,08,70.931,62.081,10.893,86.351,170.309
Killall,09,57.586,65.340,10.290,68.111,138.330
NonPCO no power down,1,75.258,48.613,10.789,90.273,110.843
NonPCO no power down,2,68.858,52.654,10.233,83.435,125.004
NonPCO no power down,3,88.749,62.562,10.793,103.887,124.596
NonPCO no power down,4,89.525,46.457,10.806,104.616,125.229
NonPCO no power down,5,57.180,59.611,10.860,68.088,132.911
NonPCO no power down,6,72.709,51.529,9.985,87.029,107.701
NonPCO no power down,7,81.506,51.470,10.759,96.714,117.437
NonPCO no power down,8,81.572,48.299,10.697,96.560,106.775
NonPCO no power down,9,64.831,49.344,10.606,79.826,110.989
NonPCO no power down,10,51.419,49.176,10.407,66.030,117.928
NonPCO no power down,11,78.822,50.949,10.341,93.438,114.071
NonPCO no power down,12,56.746,50.014,9.764,70.822,112.381
NonPCO no power down,13,60.447,50.585,10.587,75.489,127.609
NonPCO no power down,14,66.479,52.716,10.855,81.769,102.481
NonPCO no power down,15,45.039,52.785,10.775,56.092,115.918
NonPCO no power down,16,58.666,49.695,9.744,72.845,114.393
NonPCO no power down,17,58.666,49.695,9.744,72.845,114.393
NonPCO no power down,18,18.761,61.239,13.429,32.614,127.448
NonPCO no power down,19,92.767,65.431,11.767,109.292,119.552
NonPCO no power down,20,68.438,54.248,10.855,83.860,125.456
NonPCO no power down,21,54.743,47.616,9.762,68.739,131.089
NonPCO no power down,22,54.359,83.766,12.273,66.963,127.471
NonPCO no power down,23,23.527,75.272,12.436,36.290,108.700
NonPCO,1,81.621,62.810,10.581,96.567,106.762
NonPCO,2,77.504,69.900,10.586,92.343,123.473
NonPCO,3,72.726,67.940,10.712,85.592,116.707
NonPCO,4,79.061,74.627,11.063,94.357,135.920
NonPCO,5,65.596,91.341,12.255,78.150,134.936
NonPCO,6,74.091,76.114,10.938,87.793,121.038
NonPCO,7,73.873,75.645,10.777,87.214,99.201
NonPCO,8,67.999,93.695,12.268,80.593,126.933
NonPCO,9,64.276,90.496,12.218,76.855,134.062
NonPCO,10,74.913,62.339,10.139,89.384,110.070
NonPCO,11,81.728,72.275,10.389,96.385,127.428
NonPCO,12,76.407,99.671,0.000,0.000,111.923
NonPCO,13,68.170,94.101,12.358,80.830,106.817
NonPCO,14,65.399,91.528,12.318,78.103,104.276
NonPCO,15,91.331,80.362,10.708,106.530,116.752
NonPCO,16,96.553,54.182,10.194,110.966,121.213
NonPCO,17,63.475,87.266,12.355,76.184,120.613
NonPCO,18,83.503,87.554,0.000,0.000,99.541
NonPCO,19,79.591,83.647,10.883,90.525,115.279
NonPCO,20,80.743,82.541,10.211,93.628,105.613
NonPCO,21,96.094,77.303,0.000,0.000,100.469
NonPCO,22,71.776,67.884,10.141,86.217,127.741
NonPCO,23,63.336,70.683,10.364,74.010,122.978
NonPCO,24,67.929,82.986,9.746,77.969,124.107
NonPCO,25,71.163,78.977,10.285,81.718,131.119
NonPCO,26,93.470,97.324,0.000,0.000,108.294
NonPCO,27,81.413,95.548,0.000,0.000,107.720
NonPCO,28,75.703,95.130,14.332,90.421,120.039
NonPCO,29,70.423,87.047,11.769,82.571,130.270
NonPCO,30,29.366,84.484,14.270,43.953,119.716
NonPCO,31,115.626,95.565,0.000,0.000,120.002
NonPCO,32,39.437,93.116,14.209,53.961,117.819
NonPCO,33,63.172,108.586,14.222,77.685,133.288
NonPCO,34,102.722,90.010,12.629,119.883,119.883
NonPCO,35,84.254,100.118,11.833,96.403,112.267
NonPCO,36,86.623,0.000,0.000,0.000,103.723
